"year","country","intensity","Reference_key","Scenario_key","scope"
2027,"Denmark",10.10217565,"CRREM","CRREM EU Multi-family","Combined"
2027,"Estonia",57.67742943,"CRREM","CRREM EU Multi-family","Combined"
2027,"Finland",20.42315959,"CRREM","CRREM EU Multi-family","Combined"
2027,"France",10.67176821,"CRREM","CRREM EU Multi-family","Combined"
2027,"Germany",19.73999203,"CRREM","CRREM EU Multi-family","Combined"
2027,"Greece",18.4768726,"CRREM","CRREM EU Multi-family","Combined"
2027,"Hungary",14.52517667,"CRREM","CRREM EU Multi-family","Combined"
2027,"Ireland",22.34492353,"CRREM","CRREM EU Multi-family","Combined"
2027,"Italy",10.25516568,"CRREM","CRREM EU Multi-family","Combined"
2027,"Latvia",14.48865516,"CRREM","CRREM EU Multi-family","Combined"
2027,"Lithuania",17.97916207,"CRREM","CRREM EU Multi-family","Combined"
2027,"Luxembourg",21.04679908,"CRREM","CRREM EU Multi-family","Combined"
2027,"Malta",10.01990366,"CRREM","CRREM EU Multi-family","Combined"
2027,"Netherlands",15.8252772,"CRREM","CRREM EU Multi-family","Combined"
2027,"Poland",39.70938053,"CRREM","CRREM EU Multi-family","Combined"
2027,"Portugal",7.167380289,"CRREM","CRREM EU Multi-family","Combined"
2027,"Romania",16.53719853,"CRREM","CRREM EU Multi-family","Combined"
2027,"Slovakia",11.6366932,"CRREM","CRREM EU Multi-family","Combined"
2027,"Slovenia",16.07031972,"CRREM","CRREM EU Multi-family","Combined"
2027,"Spain",8.308930545,"CRREM","CRREM EU Multi-family","Combined"
2027,"Sweden",4.037345452,"CRREM","CRREM EU Multi-family","Combined"
2027,"United Kingdom",15.51470511,"CRREM","CRREM EU Multi-family","Combined"
2027,"Croatia",13.35336899,"CRREM","CRREM EU Multi-family","Combined"
2027,"Switzerland",10.5683088,"CRREM","CRREM EU Multi-family","Combined"
2027,"Norway",4.189013279,"CRREM","CRREM EU Multi-family","Combined"
2028,"Austria",12.39617374,"CRREM","CRREM EU Multi-family","Combined"
2028,"Belgium",22.3483474,"CRREM","CRREM EU Multi-family","Combined"
2028,"Bulgaria",18.0733933,"CRREM","CRREM EU Multi-family","Combined"
2028,"Cyprus",11.42729173,"CRREM","CRREM EU Multi-family","Combined"
2028,"Czech Republic",29.04945129,"CRREM","CRREM EU Multi-family","Combined"
2028,"Denmark",9.234070931,"CRREM","CRREM EU Multi-family","Combined"
2028,"Estonia",52.95190019,"CRREM","CRREM EU Multi-family","Combined"
2028,"Finland",18.86297734,"CRREM","CRREM EU Multi-family","Combined"
2028,"France",9.749554205,"CRREM","CRREM EU Multi-family","Combined"
2028,"Germany",18.06957138,"CRREM","CRREM EU Multi-family","Combined"
2028,"Greece",16.86843699,"CRREM","CRREM EU Multi-family","Combined"
2028,"Hungary",13.16886713,"CRREM","CRREM EU Multi-family","Combined"
2028,"Ireland",20.37075715,"CRREM","CRREM EU Multi-family","Combined"
2028,"Italy",9.339419039,"CRREM","CRREM EU Multi-family","Combined"
2028,"Latvia",13.12026266,"CRREM","CRREM EU Multi-family","Combined"
2028,"Lithuania",16.43442998,"CRREM","CRREM EU Multi-family","Combined"
2028,"Luxembourg",19.40219151,"CRREM","CRREM EU Multi-family","Combined"
2028,"Malta",9.237992837,"CRREM","CRREM EU Multi-family","Combined"
2028,"Netherlands",14.39959252,"CRREM","CRREM EU Multi-family","Combined"
2028,"Poland",36.24811268,"CRREM","CRREM EU Multi-family","Combined"
2028,"Portugal",6.634939631,"CRREM","CRREM EU Multi-family","Combined"
