"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2049,"Mexico",108.773410729013,251915819.752988,"SDA"
2050,"Mexico",0.101223265431034,238098.483160291,"SDA"
2020,"New Zealand",16356.62169,4437365592.7551,"SDA"
2021,"New Zealand",15393.9565846233,4248666451.41615,"SDA"
2022,"New Zealand",14156.8887440103,3974141194.66201,"SDA"
2023,"New Zealand",13019.4088902832,3716592358.90195,"SDA"
2024,"New Zealand",11917.7534701595,3458868130.53748,"SDA"
2025,"New Zealand",10849.9878332064,3200848408.27652,"SDA"
2026,"New Zealand",9814.32821698932,2942425166.97557,"SDA"
2027,"New Zealand",8809.10006331819,2683493037.21005,"SDA"
2028,"New Zealand",7832.75510746739,2423956900.70728,"SDA"
2029,"New Zealand",6859.93282467956,2156210298.77036,"SDA"
2030,"New Zealand",5940.61864354789,1896205493.03326,"SDA"
2031,"New Zealand",5380.76776876461,1743829441.73571,"SDA"
2032,"New Zealand",4819.28631113676,1585528269.58468,"SDA"
2033,"New Zealand",4289.10147921003,1432241997.00618,"SDA"
2034,"New Zealand",3759.55835020581,1274015831.22318,"SDA"
2035,"New Zealand",3255.56351983265,1119393758.92343,"SDA"
2036,"New Zealand",2754.26703903142,960757785.998161,"SDA"
2037,"New Zealand",2273.50949978879,804432921.206062,"SDA"
2038,"New Zealand",1797.31510056635,644967818.983496,"SDA"
2039,"New Zealand",1337.27051490434,486621053.832932,"SDA"
2040,"New Zealand",883.483066703185,325961364.857182,"SDA"
2041,"New Zealand",783.061794625254,292886969.498474,"SDA"
2042,"New Zealand",683.705914152526,259209339.320481,"SDA"
2043,"New Zealand",589.504881939478,226510568.140002,"SDA"
2044,"New Zealand",498.050583192097,193926864.569626,"SDA"
2045,"New Zealand",408.042606628361,160982401.641396,"SDA"
2046,"New Zealand",321.946925362568,128680164.337311,"SDA"
2047,"New Zealand",237.515754434712,96165961.5429392,"SDA"
2048,"New Zealand",156.282444812189,64089822.8149428,"SDA"
